"","k2CVerr","k5CVerr","k10CVerr"
"1",123239.046467448,122692.32339534,118286.911680885
"2",133522.162736353,117512.507206242,114129.893300205
"3",127049.711068678,116914.068041868,120198.838855269
"4",122852.120972317,119746.966550528,122752.727886204
"5",123236.654609306,120720.760199895,116820.779207115
"6",117928.298377227,120675.106810004,117602.548004308
"7",126702.635218314,121175.113514833,118695.713059283
"8",124416.147407284,113560.925836932,121284.809061618
"9",130954.854278538,122678.935636041,122078.136145008
"10",125197.92995491,118578.849581992,121828.851509787
"11",124360.287165334,119424.143129466,119843.071935068
"12",140839.823834385,113096.947677223,123001.418985049
"13",132848.575508961,116461.713335658,118696.891171516
"14",129973.603989479,114619.460837377,119083.520193676
"15",119109.372600575,117403.956379735,116596.286837187
"16",120905.406728366,118087.70867197,117488.448274747
"17",123450.947863313,122824.854008916,122253.815502617
"18",127469.979257544,118375.719323259,118758.356766156
"19",127337.401558157,121637.728229373,116598.134209004
"20",115127.051872623,125382.595195852,118475.154797464
"21",133499.545877724,115148.129847316,116516.576566513
"22",122442.172513218,118276.76546568,119778.93400045
"23",125963.425439281,121111.617693827,120321.251790243
"24",128901.375440607,121960.537848498,124640.710644902
"25",131317.592592064,124496.659542493,117721.10255089
"26",124972.66658762,122909.810908893,116989.507317507
"27",121663.877512726,122996.559823071,116080.803678584
"28",129703.711279479,115530.251849638,119137.125158884
"29",124367.91216504,113576.233091751,117119.608877718
"30",119668.696064595,121011.911434832,118189.048776232
